case,dynamic,labels,imageComponents,gameObjects,renderers,uniqueMaterials,uniqueMeshes,meshBytes,drawCalls,batches,setPassCalls,triangles,uiCallbackMeanMs,uiCallbackP95Ms,firstCanvasUpdateMeanMs,firstCanvasUpdateP95Ms,callbacksPerFrame,gcBytesPerFrame,mainThreadMs
Empty,False,0,0,1,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0001,0.0001,3.0000,236.1667,0.2361
Image_shared,False,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.0024,0.0029,0.0007,0.0009,3.0000,282.5833,0.2895
Image_shared,True,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.4550,0.4890,0.4529,0.4872,3.0000,281.9833,0.8820
SDF_same,False,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,0.0027,0.0029,0.0009,0.0009,3.0000,312.2333,0.5692
SDF_same,True,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,2.7156,3.0181,2.7129,3.0152,3.0000,312.2333,3.5017
SDF_tint,False,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,0.0025,0.0030,0.0008,0.0009,3.0000,312.2333,0.5636
SDF_tint,True,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,2.7246,3.0188,2.7219,3.0157,3.0000,312.2333,3.5226
SDF_sliced,False,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,0.0027,0.0031,0.0008,0.0010,3.0000,312.2333,0.5853
SDF_sliced,True,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,2.8520,3.1268,2.8493,3.1227,3.0000,312.2333,3.6475
SDF_styles,False,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,0.0026,0.0030,0.0008,0.0009,3.0000,312.2333,0.5806
SDF_styles,True,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,2.7366,3.0408,2.7338,3.0379,3.0000,312.2333,3.5219
SDF_sizes,False,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,0.0026,0.0030,0.0008,0.0009,3.0000,312.2333,0.5905
SDF_sizes,True,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,2.7259,2.9976,2.7232,2.9946,3.0000,312.2333,3.5112
SDF_masked,False,100,100,102,101,101,101,145844,102.0000,102.0000,101.0000,204.0000,0.0027,0.0030,0.0008,0.0009,3.0000,312.4000,0.5920
SDF_masked,True,100,100,102,101,101,101,145844,102.0000,102.0000,101.0000,204.0000,2.8417,3.1693,2.8389,3.1662,3.0000,312.4000,3.6700
SDF_one_animated,False,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,0.0025,0.0030,0.0008,0.0009,3.0000,312.2333,0.5661
SDF_one_animated,True,100,100,101,100,100,100,144400,100.0000,100.0000,100.0000,200.0000,0.0499,0.0546,0.0478,0.0527,3.0000,312.2333,0.7306
