case,dynamic,labels,tmpComponents,gameObjects,renderers,uniqueMaterials,uniqueMeshes,meshBytes,drawCalls,batches,setPassCalls,triangles,uiCallbackMeanMs,uiCallbackP95Ms,firstCanvasUpdateMeanMs,firstCanvasUpdateP95Ms,callbacksPerFrame,gcBytesPerFrame,mainThreadMs
Empty,False,0,0,1,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0001,0.0001,3.0000,236.1667,0.2534
TMP_shared,False,100,100,101,100,1,100,412400,1.0000,1.0000,1.0000,2200.0000,0.0194,0.0428,0.0078,0.0316,3.0000,282.5833,0.3257
TMP_shared,True,100,100,101,100,1,100,412400,1.0000,1.0000,1.0000,2200.0000,1.8396,2.3347,1.8237,2.3191,3.0000,281.9833,2.4631
TMP_native_effects,False,100,100,101,100,1,100,412400,1.0000,1.0000,1.0000,2200.0000,0.0192,0.0441,0.0075,0.0326,3.0000,281.9833,0.3013
TMP_native_effects,True,100,100,101,100,1,100,412400,1.0000,1.0000,1.0000,2200.0000,1.9041,3.0655,1.8864,2.8437,3.0000,281.9833,2.5461
TMP_4_shared,False,100,400,401,400,4,400,1649600,4.0000,4.0000,4.0000,8800.0000,0.0574,0.0996,0.0194,0.0311,3.0000,369.0167,0.4075
TMP_4_shared,True,100,400,401,400,4,400,1649600,4.0000,4.0000,4.0000,8800.0000,7.8170,9.6892,7.7448,9.6260,3.0000,369.0167,9.2680
TMP_4_unique,False,100,400,401,400,400,400,1649600,400.0000,400.0000,400.0000,8800.0000,0.0763,0.1274,0.0244,0.0446,3.0000,434.6000,1.8867
TMP_4_unique,True,100,400,401,400,400,400,1649600,400.0000,400.0000,400.0000,8800.0000,7.8733,9.6742,7.8014,9.5758,3.0000,434.6000,10.8199
SDF_disabled,False,100,100,101,100,1,100,412400,1.0000,1.0000,1.0000,2200.0000,0.0459,0.0735,0.0138,0.0283,3.0000,281.9833,0.3890
SDF_disabled,True,100,100,101,100,1,100,412400,1.0000,1.0000,1.0000,2200.0000,2.2321,3.0060,2.1995,2.9710,3.0000,281.9833,2.9009
SDF_1_normal,False,100,100,401,200,2,200,930400,2.0000,2.0000,2.0000,4400.0000,0.1412,0.1834,0.0451,0.0624,3.0000,331.5000,0.4644
SDF_1_normal,True,100,100,401,200,2,200,930400,2.0000,2.0000,2.0000,4400.0000,4.1363,5.8327,4.0202,5.6619,3.0000,2731.5000,5.0702
SDF_3_normal,False,100,100,401,200,2,200,1766400,2.0000,2.0000,2.0000,8800.0000,0.1371,0.1716,0.0452,0.0533,3.0000,331.5000,0.4677
SDF_3_normal,True,100,100,401,200,2,200,1766400,2.0000,2.0000,2.0000,8800.0000,4.8393,6.4670,4.7236,6.3131,3.0000,2731.5000,5.9034
SDF_3_inner_offset,False,100,100,401,200,2,200,1766400,2.0000,2.0000,2.0000,8800.0000,0.1367,0.1857,0.0447,0.0490,3.0000,331.5000,0.4725
SDF_3_inner_offset,True,100,100,401,200,2,200,1766400,2.0000,2.0000,2.0000,8800.0000,5.1193,6.0037,5.0075,5.8563,3.0000,2731.5000,6.1501
SDF_3_varied,False,100,100,401,200,2,200,1766400,2.0000,2.0000,2.0000,8800.0000,0.1309,0.1621,0.0437,0.0511,3.0000,331.5000,0.4747
SDF_3_varied,True,100,100,401,200,2,200,1766400,2.0000,2.0000,2.0000,8800.0000,4.7278,5.5180,4.6148,5.3919,3.0000,2731.5000,5.7403
SDF_3_mixed,False,100,100,501,300,2,300,1866400,3.0000,3.0000,3.0000,8800.0000,0.1327,0.1603,0.0443,0.0489,3.0000,348.1667,0.4826
SDF_3_mixed,True,100,100,501,300,2,300,1866400,3.0000,3.0000,3.0000,8800.0000,5.2953,7.0565,5.1282,6.9096,3.0000,2748.1667,6.4296
