case,dynamic,labels,imageComponents,gameObjects,renderers,uniqueMaterials,uniqueMeshes,meshBytes,drawCalls,batches,setPassCalls,triangles,uiCallbackMeanMs,uiCallbackP95Ms,firstCanvasUpdateMeanMs,firstCanvasUpdateP95Ms,callbacksPerFrame,gcBytesPerFrame,mainThreadMs
Empty,False,0,0,1,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0001,0.0001,3.0000,236.1667,0.2218
Image_shared,False,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.0025,0.0030,0.0008,0.0010,3.0000,282.5833,0.2773
Image_shared,True,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.4532,0.5099,0.4510,0.5077,3.0000,281.9833,0.8674
SDF_same,False,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.0026,0.0031,0.0008,0.0010,3.0000,281.9833,0.3005
SDF_same,True,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,1.3441,1.4248,1.3416,1.4220,3.0000,281.9833,1.7947
SDF_tint,False,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.0026,0.0030,0.0008,0.0010,3.0000,281.9833,0.2994
SDF_tint,True,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,1.3487,1.4590,1.3463,1.4564,3.0000,281.9833,1.8023
SDF_sliced,False,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.0025,0.0031,0.0008,0.0010,3.0000,281.9833,0.3062
SDF_sliced,True,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,1.4003,1.4880,1.3978,1.4849,3.0000,281.9833,1.8574
SDF_styles,False,100,100,101,100,4,100,144400,4.0000,4.0000,4.0000,200.0000,0.0027,0.0032,0.0009,0.0010,3.0000,282.8333,0.3285
SDF_styles,True,100,100,101,100,4,100,144400,4.0000,4.0000,4.0000,200.0000,1.3418,1.4807,1.3391,1.4774,3.0000,282.8333,1.8042
SDF_sizes,False,100,100,101,100,5,100,144400,5.0000,5.0000,5.0000,200.0000,0.0026,0.0031,0.0008,0.0010,3.0000,282.8333,0.3138
SDF_sizes,True,100,100,101,100,5,100,144400,5.0000,5.0000,5.0000,200.0000,1.3443,1.4185,1.3418,1.4162,3.0000,282.8333,1.8160
SDF_masked,False,100,100,102,101,2,101,145844,3.0000,3.0000,2.0000,204.0000,0.0033,0.0032,0.0008,0.0010,3.0000,282.1500,0.3204
SDF_masked,True,100,100,102,101,2,101,145844,3.0000,3.0000,2.0000,204.0000,1.3962,1.4749,1.3937,1.4718,3.0000,282.1500,1.8791
SDF_one_animated,False,100,100,101,100,1,100,144400,1.0000,1.0000,1.0000,200.0000,0.0026,0.0032,0.0008,0.0010,3.0000,281.9833,0.3128
SDF_one_animated,True,100,100,101,100,2,100,144400,1.9917,1.9917,1.9917,200.0000,0.0378,0.0428,0.0357,0.0403,3.0000,281.9833,0.4115
